ProbeName	P-value	Absolute Fold change([T] vs [N])	Regulation([T] vs [N])	type	seqname	GeneSymbol	source	RNAlength	chrom	strand
ASHG19A3A040521	1.48973E-09	5.45544459	up	noncoding	ENST00000442676	RP4-741O10.3	Ensembl	126	chrX	-
ASHG19A3A027637	2.48901E-08	3.448191232	up	noncoding	ENST00000460082	CTB-47B8.1	Ensembl	306	chr5	-
ASHG19A3A043032	2.30974E-07	2.538701723	up	noncoding	ENST00000439728	RP11-40F6.3	Ensembl	269	chr10	-
ASHG19A3A053720	2.52029E-08	8.506744283	up	noncoding	uc002eea.2	CR617556	UCSC_knowngene	583	chr16	-
ASHG19A3A018508	6.86697E-11	4.589464619	up	noncoding	NR_003259	GNAS	RefSeq_NR	1638	chr20	+
ASHG19A3A049640	3.3807E-08	3.306543069	up	noncoding	ENST00000434355	RP11-223F20.1	Ensembl	831	chr13	-
ASHG19A3A023378	5.75169E-11	2.12836641	up	noncoding	ENST00000315063	RP11-651P23.2	Ensembl	495	chr3	+
ASHG19A3A033911	1.56813E-08	14.26203041	up	noncoding	uc001gcd.2	AK026668	UCSC_knowngene	4230	chr1	+
ASHG19A3A025780	8.60212E-09	4.028810496	up	noncoding	ENST00000505987	HSP90AA4P	Ensembl	2173	chr4	+
ASHG19A3A026644	2.22191E-06	2.597089741	up	noncoding	ENST00000463864	CTD-2290C23.1	Ensembl	576	chr5	-
ASHG19A3A050187	1.30774E-08	4.394253927	up	noncoding	ENST00000425606	RP11-34F20.4	Ensembl	538	chr13	+
ASHG19A3A034849	8.22161E-09	7.876480984	up	noncoding	ENST00000442163	CTA-313A17.3	Ensembl	501	chr7	+
ASHG19A3A038346	5.06852E-09	4.015164697	up	noncoding	ENST00000431119	RP11-106A1.2	Ensembl	465	chr9	+
ASHG19A3A026682	7.7228E-05	2.108686074	up	noncoding	uc003jka.1	AK094621	UCSC_knowngene	3826	chr5	-
ASHG19A3A014732	2.6401E-07	5.511311764	up	noncoding	ENST00000450021	KRT8P10	Ensembl	1447	chr2	-
ASHG19A3A023541	5.28118E-05	2.021098134	up	noncoding	ENST00000429380	AC007919.18	Ensembl	217	chr3	+
ASHG19A3A026413	5.84796E-09	2.834659142	up	noncoding	ENST00000457507	RP11-234N17.1	Ensembl	257	chr1	+
ASHG19A3L0002436	0.00046999	2.140864361	up	noncoding	chr9:20028084-20041430+	lincRNA-MLLT3-1	lincRNA	13347	chr9	+
ASHG19A3A029629	0.000207674	2.000737358	up	noncoding	NR_026972	LOC285830	RefSeq_NR	1914	chr6	-
ASHG19A3A037898	2.68889E-08	3.236757795	up	noncoding	ENST00000412093	RP11-465N4.2	Ensembl	308	chr1	+
ASHG19A3A009780	5.69313E-08	2.850968238	up	noncoding	ENST00000422457	RP11-175B9.3	Ensembl	255	chr1	-
ASHG19A3A049935	9.31497E-09	4.81049615	up	noncoding	ENST00000413490	RP11-363G2.1	Ensembl	353	chr13	+
ASHG19A3A042892	0.000648719	2.344270367	up	noncoding	ENST00000438591	RP11-259F16.3	Ensembl	377	chr10	-
ASHG19A3L0002975	3.54075E-07	3.431167985	up	noncoding	AK097341	lincRNA-GPRC5C	lincRNA	2227	chr17	+
ASHG19A3A008658	1.04709E-10	4.285626732	up	noncoding	ENST00000359713	RP11-371B4.2	Ensembl	564	chr17	-
ASHG19A3A019109	7.10967E-07	2.033613435	up	noncoding	ENST00000396717	AP001340.2	Ensembl	606	chr21	+
ASHG19A3A030730	8.36449E-05	2.905559006	up	noncoding	ENST00000427423	RP11-134L4.2	Ensembl	339	chr6	-
ASHG19A3A043393	0.000658428	2.214327163	up	noncoding	ENST00000469206	RP11-162A23.5	Ensembl	341	chr10	-
ASHG19A3A033970	0.000195747	2.411773282	up	noncoding	NR_033435	PHF14	RefSeq_NR	7582	chr7	+
ASHG19A3A048392	0.000106095	2.058548063	up	noncoding	NR_003932	RPL13AP20	RefSeq_NR	660	chr12	+
ASHG19A3A012260	8.56222E-06	2.432538569	up	noncoding	ENST00000393336	CTD-2666L21.3	Ensembl	408	chr19	+
CUST_620_PI426073487	1.80851E-07	5.63305428	up	noncoding	uc.141-	uc.141	UCR	295	chr4	-
ASHG19A3A030866	2.62071E-09	3.427991424	up	noncoding	ENST00000415530	XX-C2158C6.3	Ensembl	439	chr6	-
ASHG19A3A015763	4.09761E-05	3.026392962	up	noncoding	ENST00000428093	AC017083.2	Ensembl	483	chr2	+
ASHG19A3A036357	1.16458E-09	6.031203663	up	noncoding	ENST00000424509	AC069185.1	Ensembl	384	chr8	+
ASHG19A3A041498	6.50983E-08	2.318223612	up	noncoding	ENST00000441633	RP11-10B2.1	Ensembl	750	chrX	+
ASHG19A3A008426	1.04057E-09	3.284014658	up	noncoding	ENST00000472109	RP11-1072C15.1	Ensembl	838	chr17	-
ASHG19A3A019841	5.73092E-06	2.915583727	up	noncoding	ENST00000396569	RP11-12M9.4	Ensembl	1071	chr22	-
ASHG19A3A045610	1.29063E-05	2.802880493	up	noncoding	ENST00000414059	RP4-800M22.1	Ensembl	333	chr1	-
ASHG19A3A026569	9.59364E-10	3.985261521	up	noncoding	ENST00000421542	FTHL10	Ensembl	552	chr5	-
ASHG19A3A015592	2.99678E-08	3.563412107	up	noncoding	ENST00000429825	AC013717.3	Ensembl	488	chr2	+
ASHG19A3A047201	1.67008E-08	2.734469682	up	noncoding	ENST00000495392	RP11-543P15.1	Ensembl	255	chr12	-
ASHG19A3A030301	2.46812E-10	2.918904345	up	noncoding	ENST00000340697	RP11-67P15.1	Ensembl	291	chr6	-
ASHG19A3A011637	0.000977508	2.06304633	up	noncoding	ENST00000391892	CTD-2571L23.1	Ensembl	435	chr19	-
ASHG19A3A035778	3.22995E-10	5.933862348	up	noncoding	NR_027765	SBF1P1	RefSeq_NR	6125	chr8	-
ASHG19A3A032861	5.65259E-07	4.107988473	up	noncoding	ENST00000417412	RP11-1217F2.2	Ensembl	665	chr7	-
ASHG19A3A029343	9.84308E-06	2.117186627	up	noncoding	ENST00000404787	RP1-140K8.2	Ensembl	368	chr6	-
ASHG19A3A039376	1.72488E-08	2.683737438	up	noncoding	uc011mct.1	EEF1A1	UCSC_knowngene	738	chr9	+
ASHG19A3A036722	8.43377E-06	3.042667544	up	noncoding	ENST00000495779	RP11-34M16.1	Ensembl	349	chr8	+
ASHG19A3A027604	4.52869E-09	4.663382821	up	noncoding	ENST00000473923	RP11-54C4.1	Ensembl	343	chr5	-
ASHG19A3A030467	4.44003E-09	3.855219206	up	noncoding	ENST00000406913	RP11-129H15.3	Ensembl	488	chr6	-
ASHG19A3A013602	3.50888E-05	2.288977518	up	noncoding	ENST00000456046	AC079250.1	Ensembl	531	chr2	-
ASHG19A3A036626	8.29564E-09	9.611171782	up	noncoding	ENST00000464216	RP11-17A4.1	Ensembl	403	chr8	+
ASHG19A3A034830	1.78188E-09	3.809249486	up	noncoding	ENST00000458329	RP13-650G11.1	Ensembl	171	chr7	+
ASHG19A3A055152	4.37264E-07	2.64583798	up	noncoding	uc002nrw.1	AK094188	UCSC_knowngene	2480	chr19	-
ASHG19A3A029729	1.39164E-09	3.373160814	up	noncoding	ENST00000487348	RP11-415K20.1	Ensembl	492	chr1	-
ASHG19A3A039953	4.94114E-06	3.258598639	up	noncoding	ENST00000441241	RP11-382F24.3	Ensembl	901	chrX	-
ASHG19A3A041043	1.79724E-07	19.33353719	up	noncoding	ENST00000362552	Z97054.1	Ensembl	102	chrX	+
ASHG19A3A055314	9.11341E-08	3.262261594	up	noncoding	uc011auk.1	GHRLOS	UCSC_knowngene	1299	chr3	+
ASHG19A3A037135	1.40534E-05	2.654671328	up	noncoding	uc003zlo.1	AK021570	UCSC_knowngene	2410	chr9	-
ASHG19A3A030502	3.14578E-09	3.218671481	up	noncoding	ENST00000426826	RP11-458I7.1	Ensembl	866	chr1	+
ASHG19A3A009162	2.65529E-08	5.460522861	up	noncoding	ENST00000453002	AC002553.2	Ensembl	337	chr17	+
ASHG19A3A054182	8.66155E-09	2.205219932	up	noncoding	ENST00000453374	RP11-179G5.1	Ensembl	888	chr1	-
ASHG19A3A008873	1.47525E-10	3.463794323	up	noncoding	ENST00000448339	AC109327.1	Ensembl	378	chr17	-
ASHG19A3A033600	1.22997E-09	3.473919877	up	noncoding	ENST00000421078	AC008155.1	Ensembl	329	chr7	-
ASHG19A3L0003467	3.31354E-05	2.344853094	up	noncoding	chr2:151258410-151267502+	lincRNA-RND3-2	lincRNA	9093	chr2	+
ASHG19A3A009930	7.97592E-09	4.186157096	up	noncoding	ENST00000413334	AC011933.2	Ensembl	321	chr17	+
ASHG19A3A043713	9.34255E-08	5.32627486	up	noncoding	NR_023388	PRINS	RefSeq_NR	2199	chr10	+
ASHG19A3A049775	3.93912E-06	2.729988234	up	noncoding	ENST00000416137	RP3-522D1.2	Ensembl	156	chr1	-
ASHG19A3A040856	7.51968E-08	2.676488709	up	noncoding	ENST00000441098	RP11-126D17.1	Ensembl	567	chrX	+
ASHG19A3A050284	3.95424E-09	2.682806309	up	noncoding	ENST00000418340	RP11-76N11.2	Ensembl	337	chr13	+
ASHG19A3A033916	8.90818E-08	2.628564944	up	noncoding	ENST00000487308	AC006483.5	Ensembl	313	chr7	+
ASHG19A3A012989	8.42751E-06	3.410514036	up	noncoding	ENST00000423096	AC008753.3	Ensembl	284	chr19	+
ASHG19A3A037741	6.80274E-10	3.832192236	up	noncoding	NR_026667	RPS10P7	RefSeq_NR	699	chr1	+
ASHG19A3A045118	6.64317E-09	2.181408459	up	noncoding	ENST00000473109	RP11-390K5.1	Ensembl	361	chr11	-
ASHG19A3A025583	1.64534E-09	3.276442167	up	noncoding	ENST00000466377	RP11-408P14.1	Ensembl	870	chr4	+
ASHG19A3A050967	3.84981E-08	2.044579764	up	noncoding	uc001eky.3	LOC728875	UCSC_knowngene	804	chr1	-
ASHG19A3A042649	5.11806E-09	4.459222829	up	noncoding	uc001btx.1	CR601100	UCSC_knowngene	1691	chr1	-
ASHG19A3A014237	3.08599E-06	3.203477935	up	noncoding	ENST00000506235	AC017074.2	Ensembl	2370	chr2	-
ASHG19A3A016420	1.79263E-07	2.435820181	up	noncoding	ENST00000429515	AC097523.1	Ensembl	637	chr2	+
ASHG19A3A029380	0.003499	2.044613304	up	noncoding	ENST00000440581	RP11-288G3.4	Ensembl	1241	chr6	-
ASHG19A3A021460	5.24587E-05	2.350409382	up	noncoding	ENST00000495649	RP11-190C22.1	Ensembl	625	chr3	-
ASHG19A3A030471	1.72092E-07	2.982956143	up	noncoding	ENST00000440646	XXyac-YR36GH4.2	Ensembl	311	chr6	-
ASHG19A3A038898	0.000174325	2.171535684	up	noncoding	ENST00000445182	RP11-350G13.1	Ensembl	851	chr9	+
ASHG19A3A020044	1.57969E-06	2.363008666	up	noncoding	ENST00000428401	AC005300.5	Ensembl	373	chr22	+
ASHG19A3A018231	4.55659E-10	3.051579945	up	noncoding	ENST00000453780	RP1-125I3.4	Ensembl	140	chr1	+
ASHG19A3A044018	1.68611E-09	5.308251282	up	noncoding	NR_001446	ANXA2P3	RefSeq_NR	1350	chr10	+
ASHG19A3A044059	1.36107E-05	2.424692316	up	noncoding	ENST00000438138	RP11-242G20.2	Ensembl	877	chr10	+
ASHG19A3L0003567	1.62596E-05	2.876757768	up	noncoding	chr3:168554930-168560248+	lincRNA-MECOM-1	lincRNA	5319	chr3	+
ASHG19A3A010971	6.73553E-07	5.526067559	up	noncoding	NR_033250	LOC388499	RefSeq_NR	1614	chr19	-
ASHG19A3A033717	5.63456E-07	2.277180704	up	noncoding	ENST00000461005	RP4-800G7.1	Ensembl	181	chr7	-
ASHG19A3A032356	2.96076E-07	3.971344422	up	noncoding	ENST00000405880	RP11-302L19.2	Ensembl	490	chr6	+
ASHG19A3A051935	7.32417E-08	4.954701304	up	noncoding	ENST00000433407	RP11-312B8.2	Ensembl	286	chr1	-
ASHG19A3A021392	1.14039E-07	3.151828611	up	noncoding	ENST00000497682	RP11-702L6.2	Ensembl	407	chr3	-
ASHG19A3A014204	1.29079E-07	2.445181426	up	noncoding	NR_024373	LOC541471	RefSeq_NR	557	chr2	-
ASHG19A3A026403	7.44299E-05	2.069094848	up	noncoding	ENST00000393497	RP11-713C19.2	Ensembl	654	chr4	+
ASHG19A3A033803	2.78014E-06	2.247550814	up	noncoding	uc003wmd.1	AX747269	UCSC_knowngene	2946	chr7	-
ASHG19A3A048776	3.25848E-08	3.250318961	up	noncoding	ENST00000497406	RP11-557F20.1	Ensembl	723	chr12	+
ASHG19A3A034524	3.03031E-08	5.76668346	up	noncoding	NR_003580	LOC100093631	RefSeq_NR	3470	chr7	+
ASHG19A3A048048	1.00288E-06	3.535555337	up	noncoding	NR_002830	GEMIN8P4	RefSeq_NR	1715	chr1	-
ASHG19A3A036589	1.57893E-08	2.316236573	up	noncoding	ENST00000343867	RP11-1134I14.1	Ensembl	691	chr8	+
ASHG19A3A051552	4.05511E-08	3.428801343	up	noncoding	ENST00000493832	CTD-2325P2.2	Ensembl	494	chr14	+
ASHG19A3A007581	3.30434E-07	2.085038958	up	noncoding	ENST00000337023	PMS2L5	Ensembl	966	chr7	+
ASHG19A3A018441	8.80781E-05	2.432754918	up	noncoding	ENST00000444980	COX6CP2	Ensembl	225	chr20	+
ASHG19A3A012328	5.40183E-08	2.582130293	up	noncoding	ENST00000444423	RP11-543E8.2	Ensembl	407	chr1	-
ASHG19A3A039615	7.89196E-08	2.057100435	up	noncoding	ENST00000444401	RP11-699A7.1	Ensembl	328	chrX	-
ASHG19A3A050417	0.002852761	2.304409824	up	noncoding	ENST00000413224	RP11-122A8.3	Ensembl	722	chr13	+
ASHG19A3A050988	4.2796E-08	3.693606407	up	noncoding	ENST00000489251	RP11-507E23.1	Ensembl	402	chr14	-
ASHG19A3A020192	1.15672E-05	3.284166507	up	noncoding	uc011aix.1	LM25	UCSC_knowngene	317	chr22	+
ASHG19A3A026929	6.33218E-07	2.09479621	up	noncoding	ENST00000497334	CTD-2339M3.1	Ensembl	318	chr5	-
ASHG19A3A052506	9.68956E-09	4.070215479	up	noncoding	uc002blm.2	DQ598270	UCSC_knowngene	299	chr15	-
ASHG19A3A022409	1.57797E-07	4.402635073	up	noncoding	ENST00000428586	AC094019.1	Ensembl	483	chr3	+
ASHG19A3A036028	1.10073E-08	2.716995043	up	noncoding	NR_027071	C8orf56	RefSeq_NR	496	chr8	-
ASHG19A3L0002952	2.46784E-10	7.613281697	up	noncoding	AK125138	lincRNA-SH3BP5L	lincRNA	3859	chr1	-
ASHG19A3A012469	8.08087E-08	2.540182351	up	noncoding	ENST00000463110	RP11-359H18.1	Ensembl	252	chr19	+
ASHG19A3A013737	0.000236155	2.591400487	up	noncoding	ENST00000479658	AC114752.2	Ensembl	549	chr2	-
ASHG19A3A053507	4.03794E-05	2.407175075	up	noncoding	uc010uzi.1	BC008178	UCSC_knowngene	335	chr16	-
ASHG19A3A007196	1.76649E-07	5.045692943	up	noncoding	NR_022007	PMS2L4	RefSeq_NR	597	chr7	-
ASHG19A3A049677	4.95721E-08	2.290334261	up	noncoding	ENST00000424827	AC001226.2	Ensembl	742	chr13	-
ASHG19A3A011331	8.1555E-07	2.359792478	up	noncoding	ENST00000471178	CTD-2588C8.1	Ensembl	348	chr19	-
ASHG19A3A032953	8.65984E-07	2.51620342	up	noncoding	ENST00000433398	RP4-756H11.2	Ensembl	370	chr7	-
ASHG19A3L0003327	3.32888E-05	3.181701621	up	noncoding	chr19:22497397-22499384+	lincRNA-ZNF98	lincRNA	1988	chr19	+
ASHG19A3A042748	3.60648E-06	5.482771491	up	noncoding	ENST00000339771	CTGLF12P	Ensembl	2485	chr10	-
ASHG19A3A018727	4.2672E-10	28.85053472	up	noncoding	NR_002997	SCARNA1	RefSeq_NR	166	chr1	+
ASHG19A3A015320	1.07662E-09	3.399878916	up	noncoding	ENST00000437876	RP11-345J13.1	Ensembl	856	chr2	+
ASHG19A3A021873	2.30757E-08	3.557237172	up	noncoding	ENST00000438478	RP11-3P17.3	Ensembl	477	chr3	-
ASHG19A3A030997	1.28354E-06	2.596911039	up	noncoding	ENST00000391491	RPL15P3	Ensembl	615	chr6	+
ASHG19A3A049494	2.59737E-07	2.473347724	up	noncoding	ENST00000412208	RP11-396A22.2	Ensembl	1084	chr13	-
ASHG19A3A018020	7.82225E-05	2.739375695	up	noncoding	uc002wlw.2	BC015432	UCSC_knowngene	2666	chr20	+
ASHG19A3A022313	8.30586E-06	2.496506749	up	noncoding	ENST00000454716	AC090954.4	Ensembl	778	chr3	+
ASHG19A3A022130	2.91273E-07	3.181627845	up	noncoding	uc003fus.1	CR597873	UCSC_knowngene	1672	chr3	-
ASHG19A3A010994	1.10714E-08	3.836050466	up	noncoding	ENST00000471227	CTD-2557P19.1	Ensembl	470	chr19	-
ASHG19A3A049916	2.00351E-08	2.373739765	up	noncoding	ENST00000454001	RP11-569O4.5	Ensembl	886	chr13	+
ASHG19A3A012141	5.90213E-06	2.492419069	up	noncoding	ENST00000491732	CTD-2102F19.1	Ensembl	478	chr19	+
ASHG19A3A041198	5.19957E-09	7.127458826	up	noncoding	ENST00000395692	AC004073.2	Ensembl	582	chrX	+
ASHG19A3A046863	0.00010588	6.509125212	up	noncoding	NR_002569	SCARNA9	RefSeq_NR	353	chr11	+
ASHG19A3A032917	4.17633E-10	3.044661625	up	noncoding	ENST00000454924	RP11-165H4.2	Ensembl	864	chr7	-
ASHG19A3A036287	4.61434E-06	2.11636652	up	noncoding	ENST00000499740	AC090691.2	Ensembl	3258	chr8	+
ASHG19A3A037231	1.51534E-09	2.41964259	up	noncoding	ENST00000440331	RPS26P2	Ensembl	348	chr9	-
ASHG19A3A048636	0.002008746	3.7179485	up	noncoding	ENST00000453927	AC073573.2	Ensembl	303	chr12	+
ASHG19A3L0000079	5.13449E-07	3.394206219	up	noncoding	chr1:223864102-223874402-	lincRNA-CAPN8	lincRNA	10301	chr1	-
CUST_897_PI426073487	0.000372562	2.083521778	up	noncoding	uc.418-	uc.418	UCR	217	chr17	-
ASHG19A3A051130	4.93711E-07	2.378882311	up	noncoding	ENST00000417615	AL162151.1	Ensembl	423	chr14	-
ASHG19A3A025243	4.13528E-09	6.399632409	up	noncoding	ENST00000514075	GMPSP	Ensembl	574	chr4	+
ASHG19A3A027056	3.83357E-09	2.121974668	up	noncoding	NR_003139	SCARNA18	RefSeq_NR	134	chr5	-
ASHG19A3A032906	0.001583688	2.032164701	up	noncoding	ENST00000435919	RP11-367J7.4	Ensembl	1312	chr1	+
ASHG19A3A026817	4.33732E-09	3.441425312	up	noncoding	ENST00000450941	AC022431.1	Ensembl	438	chr5	-
ASHG19A3A036297	0.000247506	2.270409451	up	noncoding	ENST00000495129	RP11-745K9.1	Ensembl	422	chr8	+
CUST_333_PI426073487	4.64563E-08	5.370290731	up	noncoding	uc.335+	uc.335	UCR	214	chr12	+
ASHG19A3A048157	2.1669E-12	2.873812692	up	noncoding	ENST00000485873	RP4-621B10.3	Ensembl	892	chr1	-
ASHG19A3A019260	4.95739E-09	3.829716858	up	noncoding	ENST00000467573	AF064859.2	Ensembl	473	chr21	+
ASHG19A3A049997	2.39639E-09	3.34177052	up	noncoding	NR_002162	ATP5EP2	RefSeq_NR	368	chr13	+
ASHG19A3A037294	2.94412E-09	3.033834907	up	noncoding	ENST00000399764	RP11-392A14.3	Ensembl	733	chr9	-
ASHG19A3A010868	3.41942E-07	3.511314157	up	noncoding	ENST00000401418	RP11-565J7.3	Ensembl	483	chr1	-
ASHG19A3A020429	2.19386E-06	5.051620401	up	noncoding	ENST00000401067	RP11-334L9.1	Ensembl	1944	chr1	+
ASHG19A3A028668	1.23329E-06	2.137984835	up	noncoding	ENST00000478778	CTB-118N6.1	Ensembl	369	chr5	+
ASHG19A3A053769	5.80152E-11	3.304170499	up	noncoding	ENST00000491087	RP11-26L20.1	Ensembl	368	chr16	-
ASHG19A3A039009	0.000884171	2.981871084	up	noncoding	ENST00000400056	KRT18P13	Ensembl	1196	chr9	+
ASHG19A3A009275	1.83124E-07	4.255357479	up	noncoding	ENST00000482905	RP11-822E23.1	Ensembl	476	chr17	+
ASHG19A3A040136	5.19131E-08	2.042024799	up	noncoding	ENST00000435879	RP1-138A5.1	Ensembl	888	chrX	-
ASHG19A3A042677	3.75043E-08	3.154268985	up	noncoding	ENST00000401429	RP11-272J7.5	Ensembl	1139	chr10	-
ASHG19A3A029362	2.90722E-07	3.358155757	up	noncoding	ENST00000404243	RP1-256G22.1	Ensembl	969	chr6	-
ASHG19A3A031788	1.99664E-09	3.025651797	up	noncoding	ENST00000403365	RP1-161C16.1	Ensembl	367	chr6	+
ASHG19A3A038009	1.11107E-06	6.161646774	up	noncoding	uc004bnb.1	AL833455	UCSC_knowngene	3939	chr9	-
ASHG19A3A042223	3.04836E-06	2.564098599	up	noncoding	ENST00000450819	RP11-182B22.4	Ensembl	370	chr1	+
ASHG19A3A034470	3.27233E-09	2.853364525	up	noncoding	NR_003110	CCT6P1	RefSeq_NR	1783	chr7	+
ASHG19A3A050168	5.34257E-08	4.336461958	up	noncoding	ENST00000453033	PSME2P2	Ensembl	700	chr13	+
ASHG19A3A055064	8.38765E-05	2.066013002	up	noncoding	uc001bsb.1	BC044253	UCSC_knowngene	2050	chr1	+
ASHG19A3A037524	1.11055E-07	3.314957713	up	noncoding	ENST00000445695	RP11-15J10.1	Ensembl	655	chr9	-
ASHG19A3A046917	7.50507E-06	3.966393723	up	noncoding	ENST00000474540	RP11-832N8.1	Ensembl	345	chr11	+
ASHG19A3A044157	2.96118E-05	2.526401629	up	noncoding	ENST00000446960	RP11-126H7.2	Ensembl	382	chr10	+
ASHG19A3A026573	4.80517E-05	3.815511126	up	noncoding	ENST00000515372	RP11-321E2.13	Ensembl	406	chr5	-
ASHG19A3A014672	5.57316E-09	4.919452627	up	noncoding	ENST00000405359	AC016739.2	Ensembl	345	chr2	-
ASHG19A3A032646	1.66047E-08	2.512319277	up	noncoding	ENST00000417811	AC018633.4	Ensembl	1724	chr7	-
ASHG19A3A034997	0.000244318	2.255171921	up	noncoding	ENST00000468716	RP4-560B9.4	Ensembl	569	chr1	+
CUST_789_PI426073487	4.09168E-08	2.553598779	up	noncoding	uc.310-	uc.310	UCR	229	chr10	-
ASHG19A3A049303	4.29963E-08	3.592195578	up	noncoding	ENST00000450676	RP11-274P12.1	Ensembl	552	chr13	-
ASHG19A3A042984	4.45573E-13	4.170818522	up	noncoding	ENST00000434706	RP11-487I5.1	Ensembl	478	chr10	-
ASHG19A3A028526	0.000409937	2.420785325	up	noncoding	ENST00000506586	CTC-303L1.1	Ensembl	2021	chr5	+
ASHG19A3A028678	5.4989E-07	2.260358907	up	noncoding	ENST00000354355	CTB-161M19.3	Ensembl	330	chr5	+
ASHG19A3A026969	0.004903938	2.167390979	up	noncoding	uc003kej.2	CR594687	UCSC_knowngene	1928	chr5	-
ASHG19A3A035832	2.99114E-09	5.444464662	up	noncoding	NR_002599	SNHG6	RefSeq_NR	472	chr8	-
ASHG19A3A040861	1.43799E-08	2.931253012	up	noncoding	ENST00000342691	RP11-77G22.2	Ensembl	402	chrX	+
ASHG19A3A047639	0.001638976	2.512027434	up	noncoding	ENST00000462065	RP11-972K6.1	Ensembl	364	chr12	-
ASHG19A3A039177	2.12907E-06	2.388152447	up	noncoding	NR_024408	LOC253039	RefSeq_NR	3806	chr9	+
ASHG19A3A011328	2.85178E-05	2.166717913	up	noncoding	ENST00000505751	CTD-2632B17.2	Ensembl	772	chr19	-
ASHG19A3A023415	0.002051632	2.103268888	up	noncoding	ENST00000488408	RP11-217E22.1	Ensembl	464	chr3	+
ASHG19A3A022528	7.54374E-06	2.160372856	up	noncoding	ENST00000422551	RP11-91A18.1	Ensembl	342	chr1	+
ASHG19A3A034521	5.04383E-06	4.189040096	up	noncoding	ENST00000506558	RP11-313P13.3	Ensembl	1333	chr7	+
ASHG19A3A010139	0.000181635	2.602563769	up	noncoding	ENST00000512930	AP005210.2	Ensembl	2223	chr18	-
ASHG19A3A015962	0.000161013	4.065325923	up	noncoding	uc010fhn.2	AY685359	UCSC_knowngene	286	chr2	+
ASHG19A3A014158	8.23368E-07	2.237896167	up	noncoding	ENST00000359165	EEF1A1P12	Ensembl	1341	chr2	-
ASHG19A3A042012	8.42599E-06	2.072791771	up	noncoding	NR_033381	NCRNA00103	RefSeq_NR	1113	chrY	+
ASHG19A3A041619	1.01195E-10	4.066796779	up	noncoding	ENST00000416838	RP11-364B14.2	Ensembl	1137	chrX	+
ASHG19A3A026745	5.79714E-09	3.062295123	up	noncoding	ENST00000505144	CTD-2325A15.3	Ensembl	499	chr5	-
ASHG19A3A030446	2.60092E-08	2.995137094	up	noncoding	ENST00000402041	RP11-536L15.1	Ensembl	169	chr6	-
ASHG19A3A032160	5.63275E-07	2.560599771	up	noncoding	ENST00000450680	RP11-201K10.1	Ensembl	270	chr1	+
ASHG19A3A008714	9.77453E-08	4.858361517	up	noncoding	NR_026899	LOC146880	RefSeq_NR	2879	chr17	-
ASHG19A3A039514	3.81855E-07	2.180464346	up	noncoding	uc004cos.3	TVAS5	UCSC_knowngene	2554	chrM	+
ASHG19A3A008252	3.28913E-10	11.83009647	up	noncoding	NR_002998	SCARNA3	RefSeq_NR	144	chr1	-
ASHG19A3A030348	0.000755005	2.975888363	up	noncoding	ENST00000417878	RP1-111B22.2	Ensembl	1212	chr6	-
ASHG19A3A018557	0.004792368	2.073659817	up	noncoding	ENST00000457038	RP11-40H20.5	Ensembl	527	chr1	+
ASHG19A3A046129	2.34839E-09	3.832661362	up	noncoding	ENST00000475608	RP11-16F15.1	Ensembl	468	chr11	+
ASHG19A3L0002060	2.5721E-05	2.358079078	up	noncoding	BX953928	lincRNA-DOK2	lincRNA	442	chr8	+
ASHG19A3A041472	5.28768E-06	2.834256812	up	noncoding	ENST00000439244	RP11-45J1.1	Ensembl	400	chrX	+
ASHG19A3A019402	9.70643E-09	3.514921932	up	noncoding	ENST00000427757	RPL23AP4	Ensembl	463	chr21	+
ASHG19A3A036800	8.0525E-10	3.698567554	up	noncoding	ENST00000391676	RPS26P6	Ensembl	414	chr8	+
ASHG19A3A023100	0.000176544	3.482741253	up	noncoding	NR_024618	LOC100129550	RefSeq_NR	5904	chr3	+
ASHG19A3A025413	1.34147E-06	2.781257549	up	noncoding	ENST00000493466	RP11-9D8.1	Ensembl	478	chr4	+
ASHG19A3A012823	2.63222E-08	5.779405111	up	noncoding	ENST00000471175	AC006262.2	Ensembl	498	chr19	+
ASHG19A3A038557	8.84484E-10	3.397602637	up	noncoding	ENST00000354277	RP11-297B17.2	Ensembl	403	chr9	+
ASHG19A3A008035	2.29256E-05	6.271081605	up	noncoding	NR_026718	FOXO3B	RefSeq_NR	7259	chr17	-
ASHG19A3A013348	6.07571E-08	3.014969317	up	noncoding	ENST00000421295	AC012065.5	Ensembl	375	chr2	-
ASHG19A3A031329	8.18178E-07	3.279363669	up	noncoding	uc003nza.2	RP	UCSC_knowngene	592	chr6	+
ASHG19A3A031275	8.25491E-08	2.360184758	up	noncoding	ENST00000413027	RPL3P2	Ensembl	1203	chr6	+
ASHG19A3A034296	3.51089E-07	5.278361621	up	noncoding	ENST00000459691	EPS15L2	Ensembl	2071	chr7	+
ASHG19A3A020097	4.49518E-06	4.615976609	up	noncoding	ENST00000420617	AC000078.5	Ensembl	682	chr22	+
ASHG19A3A018101	1.35541E-07	2.049047649	up	noncoding	ENST00000412571	RP1-122P22.2	Ensembl	415	chr20	+
ASHG19A3A020788	1.08959E-07	2.087327313	up	noncoding	ENST00000393779	AC104297.1	Ensembl	870	chr3	-
ASHG19A3A041500	1.07407E-09	2.136467987	up	noncoding	ENST00000424002	RP11-10B2.3	Ensembl	397	chrX	+
